Id,SongKey,song,songwriters,lead_vocals,year,cover,Era,first_release_date,max_key,mode,avg_danceability,avg_energy,avg_loudness,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_tempo,avg_duration_ms,avg_time_signature,Song_y,lyrics,avg_popularity,core_catalogue_releases,Canonical_album,first_vocalist,Paul_Song,John_Song,George_Song,Ringo_Song,popularity,BB_name,BB_artist,BB_debut_date,BB_peak_position,BB_peak_date,BB_weeks_on_chart,RollingStonePosition,RobSegment,LauraSegment,EmilySegment,OliviaSegment,BrianSegment,JackieSegment,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,Pipeline_sentiment_label,Pipeline_sentiment_score,FinetunedSentiment,distilbertsentiment,text-davinci-003,gpt-4,GPT-4_valence_score,GPT4_summary
30,adayinthelife,A Day in the Life,Lennon McCartney,Lennon McCartney,1967,0,Experimental,1967-05-26,9.0,1.0,0.40854545454545454,0.3404,-15.091545454545455,0.09045454545454544,0.6128181818181818,0.06015970000000001,0.44990909090909087,0.18227272727272725,101.29618181818182,255580.63636363635,4.090909090909091,A day in the life,"I read the news today oh boy About a lucky man who made the grade And though the news was rather sad Well I just had to laugh I saw the photograph.  He blew his mind out in a car He didn't notice that the lights had changed A crowd of people stood and stared They'd seen his face before Nobody was really sure If he was from the House of Lords.  I saw a film today oh boy The English Army had just won the war A crowd of people turned away but I just had to look Having read the book.  I'd love to turn you on  Woke up, fell out of bed, Dragged a comb across my head Found my way downstairs and drank a cup, And looking up I noticed I was late. Found my coat and grabbed my hat Made the bus in seconds flat Found my way upstairs and had a smoke, Somebody spoke and I went into a dream  I read the news today oh boy Four thousand holes in Blackburn, Lancashire And though the holes were rather small They had to count them all Now they know how many holes it takes to fill the Albert Hall.  I'd love to turn you on ",34.93333333333333,Sgt. Pepper's Lonely Hearts Club Band,Sgt. Peppers Lonely Hearts Club Band,Lennon,0,1,0,0,35,,,,,,,28.0,5,5,3,5,5,4.0,0.027,0.859,0.113,0.9595,0.2865193486213684,0.4663088023662567,0.24717183411121368,NEGATIVE,0.7142239212989807,Negative,0,"The song is about a man who made the grade, but died in a car accident. It then talks about a war that the English Army won and a film the singer watched. It ends with a reference to four thousand holes in Blackburn, Lancashire, and how they had to count them all to fill the Albert Hall. The singer expresses their desire to turn someone else on.","0.10, The lyrics describe the daily routine of reading the news, which today includes a tragic story of a man who committed suicide in his car. In the crowd witnessing the scene, there is uncertainty about the man potentially being an important figure. They also mention watching a film about the English Army winning a war. There is a recurring theme of detachment and irony in reaction to these happenings. The story then shifts to personal day-to-day activities like getting ready, taking a bus, and having a smoke, which lead to a dream-like state. The news also mentions a count of thousands of small holes in Blackburn, Lancashire and a mystic desire to enlighten or 'turn on' the listener to new perspectives. The song oscillates between mundane routine, surreal imagery and profound despair.",0.1,"The lyrics describe the daily routine of reading the news, which today includes a tragic story of a man who committed suicide in his car. In the crowd witnessing the scene, there is uncertainty about the man potentially being an important figure. They also mention watching a film about the English Army winning a war. There is a recurring theme of detachment and irony in reaction to these happenings. The story then shifts to personal day-to-day activities like getting ready, taking a bus, and having a smoke, which lead to a dream-like state. The news also mentions a count of thousands of small holes in Blackburn, Lancashire and a mystic desire to enlighten or 'turn on' the listener to new perspectives. The song oscillates between mundane routine, surreal imagery and profound despair."
31,daytripper,Day Tripper,Lennon McCartney,Lennon McCartney,1965,0,Experimental,1965-12-18,6.0,0.0,0.665,0.782,-8.438,0.0307,0.12,4.19e-06,0.125,0.731,137.453,169000.0,4.0,Day tripper,"Got a good reason for taking the easy way out Got a good reason for taking the easy way out now  She was a day tripper, a one way ticket yea It took me so long to find out, and I found out  She's a big teaser, she took me half the way there She's a big teaser, she took me half the way there now  Tried to please her, she only played one night stands Tried to please her, she only played one night stands now  She was a day tripper, a Sunday driver yea Took me so long to find out, and I found out  Day tripper Day tripper yea ",55.0,Past Masters (Double A-side with We Can Work It Out),,Lennon,0,1,0,0,55,Day Tripper,The Beatles,1965-12-18,5,1966-01-22,10,,3,3,3,3,4,3.0,0.034,0.786,0.179,0.9432,0.2830633521080017,0.5440005660057068,0.17293605208396912,NEGATIVE,0.9946133494377136,Positive,0,"The narrator of the song is talking about a woman who he has a complicated relationship with. She is a ""day tripper"" and a ""big teaser,"" taking him only halfway and playing one night stands. He eventually finds out that she is only looking for easy ways out and is a Sunday driver. He ultimately concludes that she is a ""day tripper.""","0.30, The lyrics describe a fleeting and unfulfilling romantic experience. The singer expresses frustration over a woman-- termed a ""day tripper""-- who is characterized as indecisive and noncommittal, only engaging in short-term relationships, or ""one night stands"". The singer eventually realizes her nature but is discontented, as their effort to please her was in vain.",0.3,"The lyrics describe a fleeting and unfulfilling romantic experience. The singer expresses frustration over a woman-- termed a ""day tripper""-- who is characterized as indecisive and noncommittal, only engaging in short-term relationships, or ""one night stands"". The singer eventually realizes her nature but is discontented, as their effort to please her was in vain."
32,dearprudence,Dear Prudence,Lennon McCartney,Lennon,1968,0,Experimental,1968-11-22,10.0,1.0,0.39625,0.45775,-10.904250000000001,0.039125,0.3991,0.023588249999999998,0.098975,0.31575,135.55075,249409.75,4.0,Dear prudence,"Dear Prudence, won't you come out to play Dear Prudence, greet the brand new day The sun is up, the sky is blue It's beautiful and so are you Dear Prudence won't you come out and play  Dear Prudence open up your eyes Dear Prudence see the sunny skies The wind is low the birds will sing that you are part of everything Dear Prudence won't you open up your eyes?  Look around round Look around round round Look around  Dear Prudence let me see you smile Dear Prudence like a little child The clouds will be a daisy chain So let me see you smile again Dear Prudence won't you let me see you smile? ",41.75,The Beatles (White Album),The Beatles,Lennon,0,1,0,0,42,,,,,,,,5,4,4,5,4,3.0,0.015,0.657,0.329,0.9909,0.0057729980908334255,0.1561889350414276,0.8380380272865295,POSITIVE,0.9986699819564819,Positive,1,"The lyrics of the song are asking Prudence to come out and play, open her eyes to the beauty of the world, and to let them see her smile. They emphasize the beauty of the world and how Prudence is a part of it. They ask her to look around and appreciate the beauty of the day.","0.9, The lyrics are a cheerful and uplifting call to someone named Prudence. The singer encourages Prudence to come outside and enjoy the beauty of the day, to open her eyes and notice her connection to nature. The singer also encourages Prudence to smile, expressing a desire to see her happiness.",0.9,"The lyrics are a cheerful and uplifting call to someone named Prudence. The singer encourages Prudence to come outside and enjoy the beauty of the day, to open her eyes and notice her connection to nature. The singer also encourages Prudence to smile, expressing a desire to see her happiness."
33,devilinherheart,Devil in Her Heart,Richard Drapkin †,Harrison,1963,1,Beatlemania,1963-11-22,7.0,1.0,0.6659999999999999,0.5780000000000001,-9.5785,0.0307,0.5075000000000001,0.000131,0.1939,0.9315,121.70400000000001,143940.0,4.0,Devil in her heart,"She's got the devil in her heart But her eyes they tantalize She's gonna tear your heart apart Oh her lips are really thrilling  I'll take my chances for romance is So important to me She'll never hurt me She won't desert me She's an angel sent to me  She's got the devil in her heart No, no, this I can't believe She's gonna tear your heart apart No, no nay will she deceive  I can't believe that she'll ever ever go Not when she hugs and says she loves me so She'll never hurt em She won't desert me Listen can't you see  She's got the devil in her heart Oh, no, no, no, this I can't believe She's gonna tear your heart apart No no nay will she deceive  Don't take chances if your romance is So important to you She'll never hurt me She won't desert me She's an angel sent to me  She's got the devil in her heart Oh, no, no, no, no this I can't believe She's gonna tear your heart apart No, no nay will she deceive  She's got the devil in her heart No she's an angel sent to me She's got the devil in her heart ",37.0,With the Beatles,With The Beatles,Harrison,0,0,1,0,37,,,,,,,,3,3,3,3,3,3.0,0.311,0.554,0.135,-0.9946,0.4403308629989624,0.4737699627876282,0.08589921146631241,POSITIVE,0.9979588985443115,Positive,0,"The narrator is in a relationship with a woman who has a wild side, but he still loves her and believes she won't hurt or deceive him. He is confident that she is an angel sent to him, despite her devilish tendencies.","0.40, These lyrics describe a complex character of a woman who appears to be both good and bad. The singer is enchanted by her charm and beauty and believes she would never hurt him or leave him as he regards her as an angel sent to him. Despite his acknowledgement of her devilish side, he's willing to take his chances for the romance. He cannot believe she could ever hurt him or deceive him.",0.4,"These lyrics describe a complex character of a woman who appears to be both good and bad. The singer is enchanted by her charm and beauty and believes she would never hurt him or leave him as he regards her as an angel sent to him. Despite his acknowledgement of her devilish side, he's willing to take his chances for the romance. He cannot believe she could ever hurt him or deceive him."
34,digapony,Dig a Pony,Lennon McCartney,Lennon,1970,0,Group of Solo Artists,1970-05-08,11.0,1.0,0.5005000000000001,0.42766666666666664,-9.6675,0.049716666666666666,0.4996666666666667,9.603333333333333e-06,0.24750000000000003,0.42616666666666664,108.25266666666666,255746.0,3.1666666666666665,Dig a pony,"I dig a pony Well you can celebrate anything you want Well you can celebrate anything you want Ooh. I do a road hog Well you can penetrate any place you go Yes you can penetrate any place you go I told you, all I want is you. Ev'rything has got to be just like you want it to Because--  I pick a moon dog Well you can radiate ev'rything you are Yes you can radiate ev'rything you are-- Ooh. I roll a stoney Well you can imitate ev'ryone you know Yes you can imitate ev'ryone you know I told you, all I want is you. Ev'rything has got to bejust like you want it to Because--  I feel the wind blow Well you can indicate ev'rything you see Yes you can indicate ev'rything you see-- Ooh. I dug a pony Well you can syndicate any boat you row Yes you can syndicate any boat you row I told you, all I want is you. Ev'rything has got to bejust like you want it to Because-- ",37.857142857142854,Let It Be,Let It Be,Lennon,0,1,0,0,38,,,,,,,,3,4,3,3,1,3.0,0.0,0.715,0.285,0.9909,0.030285831540822983,0.4878576099872589,0.4818566143512726,POSITIVE,0.9538320899009705,Positive,0,"The lyrics encourage the listener to celebrate, penetrate, radiate, imitate, and indicate whatever they want in order to get what they desire. The singer expresses that all they want is the listener and that everything should be according to their desires.","0.75, The lyrics express the singer's desire to be whatever the object of his affection desires, reflecting on the ability to adapt or morph into anything or any situation needed. Throughout the lyrics, there's an emphasis on the importance of being able to fit into the expectations and desires of the other person, indicating a measure of devotion. Despite the abstract sentences, the recurring theme points to wanting to satisfy someone else's needs.",0.75,"The lyrics express the singer's desire to be whatever the object of his affection desires, reflecting on the ability to adapt or morph into anything or any situation needed. Throughout the lyrics, there's an emphasis on the importance of being able to fit into the expectations and desires of the other person, indicating a measure of devotion. Despite the abstract sentences, the recurring theme points to wanting to satisfy someone else's needs."
35,digit,Dig It,Lennon McCartney Harrison Starkey,Lennon,1970,0,Group of Solo Artists,1970-05-08,5.0,1.0,0.4833333333333334,0.5233333333333333,-11.820666666666668,0.08823333333333333,0.5846666666666667,0.00225423,0.38466666666666666,0.769,155.76433333333333,116933.33333333333,3.0,Dig it,"Like a rolling stone A like a rolling stone Like the FBI and the CIA And the BBC--BB King And Doris Day Matt Busby Dig it, dig it, dig it Dig it, dig it, dig it, dig it, dig it, dig it, dig it, dig it  [That was 'Can You Dig It' by Georgie Wood. And now we'd like to do 'Hark The Angels Come'.] ",38.333333333333336,Let It Be,Let It Be,Lennon,0,1,0,0,38,,,,,,,,3,3,1,3,1,3.0,0.0,0.853,0.147,0.8402,0.15664568543434143,0.6696233749389648,0.17373090982437134,POSITIVE,0.9632993340492249,Positive,0,"The song lyrics reference figures such as the FBI, CIA, BBC, BB King, Doris Day, and Matt Busby, and the refrain is ""Can You Dig It"" repeated multiple times. The song is followed by a request to perform another song, ""Hark The Angels Come"".","0.50, The lyrics make various cultural references, such as to the FBI, CIA, BBC, BB King, Doris Day, and Matt Busby, likening them to a ""rolling stone"". There is a repetitive phrase, 'Dig it', suggesting encouragement to understand or appreciate these references. The mention of the songs 'Can You Dig It' by Georgie Wood and 'Hark The Angels Come' demonstrates a transition in the musical set.",0.5,"The lyrics make various cultural references, such as to the FBI, CIA, BBC, BB King, Doris Day, and Matt Busby, likening them to a ""rolling stone"". There is a repetitive phrase, 'Dig it', suggesting encouragement to understand or appreciate these references. The mention of the songs 'Can You Dig It' by Georgie Wood and 'Hark The Angels Come' demonstrates a transition in the musical set."
37,doyouwanttoknowasecret,Do You Want to Know a Secret,Lennon McCartney,Harrison,1963,0,Beatlemania,1963-03-22,4.0,1.0,0.6120000000000001,0.3505,-12.1665,0.0341,0.629,0.0,0.4255,0.663,130.06,112266.5,4.0,Do you want to know a secret,"You'll never know how much I really love you. You'll never know how much I really care.  Listen, Do you want to know a secret, Do you promise not to tell, whoa oh, oh.  Closer, Let me whisper in your ear, Say the words you long to hear, I'm in love with you.  Listen, Do you want to know a secret, Do you promise not to tell, whoa oh, oh.  Closer, Let me whisper in your ear, Say the words you long to hear, I'm in love with you.  I've known the secret for a week or two, Nobody knows, just we two.  Listen, Do you want to know a secret, Do you promise not to tell, whoa oh, oh.  Closer, Let me whisper in your ear, Say the words you long to hear, I'm in love with you. ",50.0,Please Please Me,Please Please Me,Harrison,0,0,1,0,50,Do You Want To Know A Secret,The Beatles,1964-03-28,2,1964-05-09,11,,3,3,3,3,4,3.0,0.0,0.791,0.209,0.9838,0.11585079878568649,0.5614296197891235,0.32271960377693176,POSITIVE,0.998806357383728,Positive,0,"The narrator expresses their strong love and care for someone and reveals that they have been in love with them for a while. They ask the person to promise not to tell anyone about their secret love and to let them whisper in their ear and say the words they long to hear: ""I'm in love with you.""","0.80, These lyrics express a person's deep and secret love for someone else. The individual is eager to confess their feelings, urging the person they're interested in to listen while promising to whisper 'I'm in love with you,' the words they believe the other person wants to hear. The secret has been kept for a few weeks, and they wish to share it just between the two of them.",0.8,"These lyrics express a person's deep and secret love for someone else. The individual is eager to confess their feelings, urging the person they're interested in to listen while promising to whisper 'I'm in love with you,' the words they believe the other person wants to hear. The secret has been kept for a few weeks, and they wish to share it just between the two of them."
38,doctorrobert,Doctor Robert,Lennon McCartney,Lennon,1966,0,Experimental,1966-08-05,4.0,1.0,0.43474999999999997,0.6275,-8.96325,0.043875,0.14727500000000002,0.1597,0.13425,0.62125,123.19125,146163.25,4.0,Doctor Robert,"Ring my friend, I said you call Doctor Robert Day or night he'll be there any time at all, Doctor Robert Doctor Robert, you're a new and better man, He helps you to understand He does everything he can, Doctor Robert  If you're down he'll pick you up, Doctor Robert Take a drink from his special cup, Doctor Robert Doctor Robert, he's a man you must believe, Helping everyone in need No one can succeed like Doctor Robert  Well, well, well, you're feeling fine Well, well, well, he'll make you ... Doctor Robert  My friend works for the national health, Doctor Robert 'pay money just to see yourself with Doctor Robert Doctor Robert, you're a new and better man, He helps you to understand He does everything he can, Doctor Robert  Well, well, well, you're feeling fine Well, well, well, he'll make you ... Doctor Robert ",41.5,Revolver,Revolver,Lennon,0,1,0,0,42,,,,,,,,3,3,3,3,3,3.0,0.02,0.641,0.339,0.9928,0.010549970902502537,0.1637791395187378,0.8256708979606628,POSITIVE,0.9995181560516357,Positive,1,"Doctor Robert is a man who helps people to understand and succeed. He is available day or night and will pick people up if they are down. He gives people a drink from his special cup and works for the national health. He is a new and better man, and helps everyone in need. He will make people feel fine.","0.90, The lyrics highlight the character Doctor Robert, who seems to be a benevolent figure always available to help people improve their lives. The song presents Doctor Robert as a dedicated, understanding, and efficient professional ensuring others' well-being. He possesses a ""special cup,"" possibly metaphorical for his unique capacity or remedy to uplift those feeling down. His ability to help and transform others, even working for the national health, earns him credibility and admiration. Overall, there's a sense of optimism and reassurance in his presence.",0.9,"The lyrics highlight the character Doctor Robert, who seems to be a benevolent figure always available to help people improve their lives. The song presents Doctor Robert as a dedicated, understanding, and efficient professional ensuring others' well-being. He possesses a ""special cup,"" possibly metaphorical for his unique capacity or remedy to uplift those feeling down. His ability to help and transform others, even working for the national health, earns him credibility and admiration. Overall, there's a sense of optimism and reassurance in his presence."
39,dontbotherme,Don't Bother Me,Harrison,Harrison,1963,0,Beatlemania,1963-11-22,2.0,1.0,0.371,0.724,-9.792,0.0562,0.554,0.0,0.299,0.916,170.377,148253.0,4.0,Don't bother me,"Since she's been gone I want no one to talk to me. It's not the same but I'm to blame, it's plain to see.  So go away, leave me alone, don't bother me.  I can't believe that she would leave me on my own. It's just not right when every night I'm all alone.  I've got no time for you right now, don't bother me.  I know I'll never be the same if I don't get her back again. Because I know she'll always be the only girl for me.  But 'till she's here please don't come near, just stay away. I'll let you know when she's come home. Until that day,  Don't come around, leave me alone, don't bother me.  I've got no time for you right now, don't bother me.  I know I'll never be the same if I don't get her back again. Because I know she'll always be the only girl for me.  But 'till she's here please don't come near, just stay away. I'll let you know when she's come home. Until that day,  Don't come around, leave me alone, don't bother me. Don't bother me. Don't bother me. Don't bother me. Don't bother me. ",53.0,With the Beatles,With The Beatles,Harrison,0,0,1,0,53,,,,,,,,3,3,3,3,3,3.0,0.12,0.746,0.133,0.6064,0.6186695694923401,0.3223402202129364,0.05899021029472351,NEGATIVE,0.997973620891571,Negative,1,"The narrator is pining for his lost love and is asking others to stay away and leave him alone until she returns. He expresses his sadness and loneliness without her and his belief that she is the only one for him. He insists that he will let them know when she returns and until then, they should stay away and not bother him.","-0.7, The lyrics express the narrator's deep sadness and solitude following the departure of a loved one. He blames himself for her leaving, is angered by unwanted company, and wants to be left alone as he struggles with his feelings. Still hopeful about the potential return of his beloved, he insists that he won't be the same without her and thus requests people to stay away and not bother him until she comes back.",-0.7,"The lyrics express the narrator's deep sadness and solitude following the departure of a loved one. He blames himself for her leaving, is angered by unwanted company, and wants to be left alone as he struggles with his feelings. Still hopeful about the potential return of his beloved, he insists that he won't be the same without her and thus requests people to stay away and not bother him until she comes back."
40,dontletmedown,Don't Let Me Down,Lennon McCartney,Lennon,1969,0,Experimental,1968-05-10,6.0,1.0,0.5038333333333334,0.4583333333333333,-9.389666666666667,0.04543333333333333,0.459,0.000218455,0.219,0.6766666666666667,132.94266666666667,219014.83333333334,4.0,Don't let me down,"Don't let me down, don't let me down. Don't let me down, don't let me down.  Nobody ever loved me like she does, oo, she does, yeh, she does. And if somebody loved me like she do me, oo, she do me, yes, she does.  Don't let me down, don't let me down. Don't let me down, don't let me down.  I'm in love for the first time. Don't you know it's gonna last. I''s a love that lasts forever, It's a love that had no past.  Don't let me down, don't let me down. Don't let me down, don't let me down.  And from the first time that she really done me, oo, she done me, she done me good. I guess nobody ever really done me, oo, she done me, she done me good.  Don't let me down, don't let me down. Don't let me down, don't let me down. ",46.25,Past Masters (B-side of Get Back),,Lennon,0,1,0,0,46,Don't Let Me Down,The Beatles With Billy Preston,1969-05-10,35,1969-05-24,4,,3,5,4,3,3,3.0,0.013,0.793,0.195,0.9858,0.10071828216314316,0.39945873618125916,0.4998229742050171,POSITIVE,0.9972266554832458,Negative,0,"The speaker is in love for the first time and is asking someone not to let them down. They are expressing their appreciation for the love they have found, noting that no one has ever loved them like this before. They are confident that this love will last forever.","0.75, The lyrics express deep love and connection the singer feels towards someone, making him experience being in love for the first time. He admires the profound love she offers, which he's never received before, creating a strong dependency on her affection, hence his plea for her not to let him down. This love is believed to be everlasting and unique, having no ties to the past.",0.75,"The lyrics express deep love and connection the singer feels towards someone, making him experience being in love for the first time. He admires the profound love she offers, which he's never received before, creating a strong dependency on her affection, hence his plea for her not to let him down. This love is believed to be everlasting and unique, having no ties to the past."
41,dontpassmeby,Don't Pass Me By,Starkey,Starr,1968,0,Experimental,1968-11-22,0.0,1.0,0.5985,0.5585,-8.8495,0.0258,0.5329999999999999,1.0135e-05,0.221,0.9535,84.945,230380.0,4.0,Don't pass me by,I listen for your footsteps Coming up the drive Listen for your footsteps But they don't arrive Waiting for your knock dear On my old front door I don't hear it Does it mean you don't love me any more.  I hear the clock a'ticking On the mantel shelf See the hands a'moving But I'm by myself I wonder where you are tonightÂ  And why I'm by myself I don't see youÂ  Does it mean you don't love me any more.  Don't pass me by don't make me cry don't make me blue 'Cause you know darling I love only you You'll never know it hurt me soÂ  How I hate to see you go Don't pass me by don't make me cry  I'm sorry that I doubted you I was so unfair You were in a car crash And you lost your hair You said you would be late About an hour or two I said that's alright I'm waiting here Just waiting to hear from you. ,38.333333333333336,The Beatles (White Album),The Beatles,Starr,0,0,0,1,38,,,,,,,,1,1,1,3,3,3.0,0.176,0.716,0.108,-0.9368,0.38553711771965027,0.47133371233940125,0.1431291699409485,NEGATIVE,0.9307230710983276,Negative,0,"The narrator is waiting for their loved one to come home, but they don't arrive. They are alone and wondering where they are and why they haven't heard from them. They plead for them not to pass them by and make them cry, because they still love them. The narrator then remembers that their loved one had been in a car crash, and apologizes for doubting them.","-0.80, The lyrics express the feelings of someone anxiously waiting for their loved one to return home, but they never arrive. This lack of appearance leads the person to question whether they are no longer loved. The person feels alone and sad, desperately hoping the loved one won't leave them. A later clarification reveals that the loved one was in a car crash and had warned they might be late, causing regret in the speaker for doubting the love of the late comer.",-0.8,"The lyrics express the feelings of someone anxiously waiting for their loved one to return home, but they never arrive. This lack of appearance leads the person to question whether they are no longer loved. The person feels alone and sad, desperately hoping the loved one won't leave them. A later clarification reveals that the loved one was in a car crash and had warned they might be late, causing regret in the speaker for doubting the love of the late comer."
42,drivemycar,Drive My Car,Lennon McCartney,McCartney (with Lennon),1965,0,Experimental,1965-12-03,2.0,1.0,0.754,0.571,-8.547,0.0421,0.0173,0.0,0.3,0.82,122.463,148893.0,4.0,Drive my car,"Asked a girl what she wanted to be She said baby, can't you see I wanna be famous, a star on the screen But you can do something in between  Baby you can drive my car Yes I'm gonna be a star Baby you can drive my car And baby I love you  I told a girl that my prospects were good And she said baby, it's understood Working for peanuts is all very fine But I can show you a better time  Baby you can drive my car Yes I'm gonna be a star Baby you can drive my car And baby I love you  Beep beep'm beep beep yeah  Baby you can drive my car Yes I'm gonna be a star Baby you can drive my car And baby I love you  I told a girl I can start right away And she said listen babe I got something to say I got no car and it's breaking my heart But I've found a driver and that's a start  Baby you can drive my car Yes I'm gonna be a star Baby you can drive my car And baby I love you  Beep beep'm beep beep yeah Beep beep'm beep beep yeah Beep beep'm beep beep yeah Beep beep'm beep beep yeah ",54.5,Rubber Soul,Rubber Soul,McCartney,1,0,0,0,54,,,,,,,,3,3,3,3,3,3.0,0.012,0.721,0.267,0.9964,0.012294030748307705,0.17058105766773224,0.8171249628067017,POSITIVE,0.9993250370025635,Positive,0,"A girl expresses her desire to become famous and the singer tells her that they can do something in between. He offers to let her drive his car and tells her that he loves her. He then reveals that he has good prospects and can start right away, but he has no car. He then finds a driver and offers her the chance to drive his car, telling her that he loves her.","0.75, The lyrics tell a story of a man and a woman who are exploring the dynamics of their relationship. The girl in the story wants to be famous and a star, but she also needs someone who can be supportive and in this case, drive her car. The man in the story, on his end, isn't wealthy but can offer her his assistance and love. The repeated line 'baby you can drive my car' suggests he's willing to support her dreams, and the line 'and baby, I love you' illustrates his affection towards her.",0.75,"The lyrics tell a story of a man and a woman who are exploring the dynamics of their relationship. The girl in the story wants to be famous and a star, but she also needs someone who can be supportive and in this case, drive her car. The man in the story, on his end, isn't wealthy but can offer her his assistance and love. The repeated line 'baby you can drive my car' suggests he's willing to support her dreams, and the line 'and baby, I love you' illustrates his affection towards her."
43,eightdaysaweek,Eight Days a Week,Lennon McCartney,Lennon McCartney,1964,0,Beatlemania,1964-12-04,9.0,1.0,0.644,0.63,-6.708,0.0348,0.3385,0.0,0.16699999999999998,0.7905,138.4205,163460.0,4.0,Eight days a week,"Ooh I need your love babe, Guess you know it's true. Hope you need my love babe, Just like I need you. Hold me, love me, hold me, love me. Ain't got nothin' but love babe, Eight days a week.  Love you ev'ry day girl, Always on my mind. One thing I can say girl, Love you all the time. Hold me, love me, hold me, love me. Ain't got nothin' but love babe, Eight days a week.  Eight days a week I love you. Eight days a week Is not enough to show I care.  Ooh I need your love babe, ...  Eight days a week ...  Love you ev'ry ...  Eight days a week. Eight days a week. Eight days a week. ",45.2,Beatles for Sale,Beatles for Sale,Lennon,0,1,0,0,45,Eight Days A Week,The Beatles,1965-02-20,12,1965-03-13,10,499.0,3,3,3,3,3,3.0,0.0,0.562,0.438,0.9976,0.026908401399850845,0.22359444200992584,0.7494971752166748,POSITIVE,0.9993001222610474,Positive,1,The singer expresses their need for love and how they love their partner every day and all the time. They say that eight days a week is not enough to show how much they care for their partner.,"0.9, These lyrics express the singer's deep affection and need for their beloved. They emphasise their desire to show their love all the time, extending it to ""eight days a week"", highlighting their perpetual emotions. They are expressing their intensifying need for their partner's love and asserting that no amount of time is enough to portray their care and affection toward their love interest.",0.9,"These lyrics express the singer's deep affection and need for their beloved. They emphasise their desire to show their love all the time, extending it to ""eight days a week"", highlighting their perpetual emotions. They are expressing their intensifying need for their partner's love and asserting that no amount of time is enough to portray their care and affection toward their love interest."
44,eleanorrigby,Eleanor Rigby,Lennon McCartney,McCartney,1966,0,Experimental,1966-08-05,4.0,1.0,0.5751428571428571,0.24724285714285715,-10.597714285714286,0.10585714285714286,0.8908571428571428,0.11214508571428572,0.3485714285714286,0.6808571428571428,136.6987142857143,129303.0,4.0,Eleanor Rigby,"Ah, look at all the lonely people Ah, look at all the lonely people  Eleanor Rigby picks up the rice in the church where a wedding has been Lives in a dream Waits at the window, wearing the face that she keeps in a jar by the door Who is it for?  All the lonely people Where do they all come from ? All the lonely people Where do they all belong ?  Father McKenzie writing the words of a sermon that no one will hear No one comes near.Â  Look at him working. Darning his socks in the night when there's nobody there What does he care?  All the lonely people Where do they all come from? All the lonely people Where do they all belong?  Eleanor Rigby died in the church and was buried along with her name Nobody came Father McKenzie wiping the dirt from his hands as he walks from the grave No one was saved  All the lonely people Where do they all come from? All the lonely people Where do they all belong? ",47.77777777777778,Revolver,Revolver,McCartney,1,0,0,0,48,Eleanor Rigby,The Beatles,1966-08-27,11,1966-09-24,8,138.0,5,5,3,5,4,5.0,0.181,0.779,0.04,-0.9755,0.5720018744468689,0.38162434101104736,0.046373769640922546,NEGATIVE,0.9899083375930786,Negative,0,"The song is about the loneliness of Eleanor Rigby and Father McKenzie, two people who are seemingly forgotten by society. The song questions where all the lonely people come from and where they all belong. The song ends with Eleanor Rigby's death and burial, with nobody attending her funeral.","-0.7, These lyrics discuss two characters: Eleanor Rigby and Father McKenzie, who live solitary lives. Eleanor is described as picking up rice after a wedding, symbolizing loneliness and desire for companionship, while Father McKenzie writes sermons no one will hear. Their loneliness and isolation are emphasized through repeatedly questioning where all the lonely people come from and where they belong. Tragically, Eleanor dies alone and Father McKenzie buries her, with nobody attending her funeral, suggesting that their loneliness has continued until the end.",-0.7,"These lyrics discuss two characters: Eleanor Rigby and Father McKenzie, who live solitary lives. Eleanor is described as picking up rice after a wedding, symbolizing loneliness and desire for companionship, while Father McKenzie writes sermons no one will hear. Their loneliness and isolation are emphasized through repeatedly questioning where all the lonely people come from and where they belong. Tragically, Eleanor dies alone and Father McKenzie buries her, with nobody attending her funeral, suggesting that their loneliness has continued until the end."
45,theend,The End,Lennon McCartney,McCartney,1969,0,Group of Solo Artists,1969-09-26,11.0,1.0,0.6473333333333334,0.4796666666666667,-11.582,0.11316666666666665,0.0007956666666666667,0.37766666666666665,0.26533333333333337,0.29533333333333334,123.19333333333334,138200.0,2.0,The end,"Oh yeah, all right Are you going to be in my dreams Tonight?  And in the end The love you take Is equal to the love you make. ",39.75,Abbey Road,Abbey Road,McCartney,1,0,0,0,40,,,,,,,,5,5,3,5,3,3.0,0.0,0.643,0.357,0.9231,0.009809753857553005,0.24785935878753662,0.7423309087753296,POSITIVE,0.9998347759246826,Positive,0,"The song is asking if the person will be in the dreamer's dreams tonight, and in the end, it is saying that the amount of love you give is the same as the amount you receive.","0.75, These lyrics express anticipation of seeing someone in dreams and ending with a statement on the balance of love; implying the amount of love one gives is paralleled by the amount one receives.",0.75,These lyrics express anticipation of seeing someone in dreams and ending with a statement on the balance of love; implying the amount of love one gives is paralleled by the amount one receives.
