album,release_date,release_date_precision,name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Revolver (Super Deluxe),2022-10-28,day,Love You To - Take 1,3fdNlBpAa0om9JbV6WYOFG,0.735,0.29,7,-10.909,1,0.0684,0.757,0.0,0.325,0.41,115.246,audio_features,3fdNlBpAa0om9JbV6WYOFG,spotify:track:3fdNlBpAa0om9JbV6WYOFG,https://api.spotify.com/v1/tracks/3fdNlBpAa0om9JbV6WYOFG,https://api.spotify.com/v1/audio-analysis/3fdNlBpAa0om9JbV6WYOFG,160440,4
Revolver (Super Deluxe),2022-10-28,day,Love You To - Unnumbered Rehearsal,0tF6zE8pq6MFwhDESJ1ErP,0.436,0.427,5,-10.149,1,0.0369,0.378,0.858,0.117,0.785,129.3,audio_features,0tF6zE8pq6MFwhDESJ1ErP,spotify:track:0tF6zE8pq6MFwhDESJ1ErP,https://api.spotify.com/v1/tracks/0tF6zE8pq6MFwhDESJ1ErP,https://api.spotify.com/v1/audio-analysis/0tF6zE8pq6MFwhDESJ1ErP,95240,4
Revolver (Super Deluxe),2022-10-28,day,Love You To - Take 7,1YXmPn03kniieZ9RbsXKvk,0.376,0.584,5,-8.816,1,0.0558,0.719,3e-06,0.0771,0.849,123.418,audio_features,1YXmPn03kniieZ9RbsXKvk,spotify:track:1YXmPn03kniieZ9RbsXKvk,https://api.spotify.com/v1/tracks/1YXmPn03kniieZ9RbsXKvk,https://api.spotify.com/v1/audio-analysis/1YXmPn03kniieZ9RbsXKvk,175493,4
Revolver (Super Deluxe),2022-10-28,day,Paperback Writer - Takes 1 & 2 / Backing Track,0oBM6Tjg1yyJkFonrYsqys,0.582,0.75,7,-8.905,1,0.151,0.301,0.265,0.532,0.618,78.735,audio_features,0oBM6Tjg1yyJkFonrYsqys,spotify:track:0oBM6Tjg1yyJkFonrYsqys,https://api.spotify.com/v1/tracks/0oBM6Tjg1yyJkFonrYsqys,https://api.spotify.com/v1/audio-analysis/0oBM6Tjg1yyJkFonrYsqys,218267,4
Revolver (Super Deluxe),2022-10-28,day,Rain - Take 5 / Actual Speed,6JcEtABNOG9wchIW83VRGb,0.253,0.712,3,-8.318,1,0.0337,0.000176,0.858,0.289,0.704,130.546,audio_features,6JcEtABNOG9wchIW83VRGb,spotify:track:6JcEtABNOG9wchIW83VRGb,https://api.spotify.com/v1/tracks/6JcEtABNOG9wchIW83VRGb,https://api.spotify.com/v1/audio-analysis/6JcEtABNOG9wchIW83VRGb,158573,4
Revolver (Super Deluxe),2022-10-28,day,Rain - Take 5 / Slowed Down For Master Tape,7sPFt4yLSsNjPV3VmlSFej,0.266,0.523,0,-8.34,1,0.0315,0.00041,0.682,0.0797,0.599,107.798,audio_features,7sPFt4yLSsNjPV3VmlSFej,spotify:track:7sPFt4yLSsNjPV3VmlSFej,https://api.spotify.com/v1/tracks/7sPFt4yLSsNjPV3VmlSFej,https://api.spotify.com/v1/audio-analysis/7sPFt4yLSsNjPV3VmlSFej,192787,4
Revolver (Super Deluxe),2022-10-28,day,Doctor Robert - Take 7,5e2O3bLwat7CmaXg10CgOO,0.497,0.567,4,-9.508,1,0.0362,0.139,0.0802,0.116,0.695,81.628,audio_features,5e2O3bLwat7CmaXg10CgOO,spotify:track:5e2O3bLwat7CmaXg10CgOO,https://api.spotify.com/v1/tracks/5e2O3bLwat7CmaXg10CgOO,https://api.spotify.com/v1/audio-analysis/5e2O3bLwat7CmaXg10CgOO,179680,4
Revolver (Super Deluxe),2022-10-28,day,And Your Bird Can Sing - First Version / Take 2,6ipEhVjejqahnGucZ45zzG,0.391,0.718,2,-8.311,1,0.0343,0.000342,0.452,0.22,0.862,133.852,audio_features,6ipEhVjejqahnGucZ45zzG,spotify:track:6ipEhVjejqahnGucZ45zzG,https://api.spotify.com/v1/tracks/6ipEhVjejqahnGucZ45zzG,https://api.spotify.com/v1/audio-analysis/6ipEhVjejqahnGucZ45zzG,134627,4
Revolver (Super Deluxe),2022-10-28,day,And Your Bird Can Sing - First Version / Take 2 / Giggling,2dq1fSZrnjZeGGVwiV18Lq,0.378,0.607,2,-7.993,1,0.0381,0.00322,0.00544,0.523,0.737,133.977,audio_features,2dq1fSZrnjZeGGVwiV18Lq,spotify:track:2dq1fSZrnjZeGGVwiV18Lq,https://api.spotify.com/v1/tracks/2dq1fSZrnjZeGGVwiV18Lq,https://api.spotify.com/v1/audio-analysis/2dq1fSZrnjZeGGVwiV18Lq,143680,3
Revolver (Super Deluxe),2022-10-28,day,And Your Bird Can Sing - Second Version / Take 5,6wPkP3U504M11fDbBtK5O5,0.446,0.555,6,-9.855,0,0.0425,0.00151,5e-05,0.101,0.547,125.924,audio_features,6wPkP3U504M11fDbBtK5O5,spotify:track:6wPkP3U504M11fDbBtK5O5,https://api.spotify.com/v1/tracks/6wPkP3U504M11fDbBtK5O5,https://api.spotify.com/v1/audio-analysis/6wPkP3U504M11fDbBtK5O5,140093,4
Revolver (Super Deluxe),2022-10-28,day,Taxman - Take 11,53neUrmanNMnUy2dWnRjQi,0.504,0.663,7,-7.419,1,0.06,0.0104,0.0,0.111,0.786,132.127,audio_features,53neUrmanNMnUy2dWnRjQi,spotify:track:53neUrmanNMnUy2dWnRjQi,https://api.spotify.com/v1/tracks/53neUrmanNMnUy2dWnRjQi,https://api.spotify.com/v1/audio-analysis/53neUrmanNMnUy2dWnRjQi,157760,4
Revolver (Super Deluxe),2022-10-28,day,I’m Only Sleeping - Rehearsal Fragment,6rJp3kqNXNbJDufgH2E617,0.721,0.132,9,-12.32,0,0.118,0.871,0.206,0.294,0.265,103.522,audio_features,6rJp3kqNXNbJDufgH2E617,spotify:track:6rJp3kqNXNbJDufgH2E617,https://api.spotify.com/v1/tracks/6rJp3kqNXNbJDufgH2E617,https://api.spotify.com/v1/audio-analysis/6rJp3kqNXNbJDufgH2E617,48280,4
Revolver (Super Deluxe),2022-10-28,day,I’m Only Sleeping - Take 2,0mWw8bJ64kgSYBgIFzfCnG,0.581,0.346,3,-11.676,0,0.0506,0.511,2.36e-05,0.287,0.401,106.877,audio_features,0mWw8bJ64kgSYBgIFzfCnG,spotify:track:0mWw8bJ64kgSYBgIFzfCnG,https://api.spotify.com/v1/tracks/0mWw8bJ64kgSYBgIFzfCnG,https://api.spotify.com/v1/audio-analysis/0mWw8bJ64kgSYBgIFzfCnG,148093,4
Revolver (Super Deluxe),2022-10-28,day,I’m Only Sleeping - Take 5,2OKP6ZY58Q0G2weotBZnzY,0.635,0.666,4,-7.439,0,0.0345,0.0257,0.852,0.112,0.599,126.989,audio_features,2OKP6ZY58Q0G2weotBZnzY,spotify:track:2OKP6ZY58Q0G2weotBZnzY,https://api.spotify.com/v1/tracks/2OKP6ZY58Q0G2weotBZnzY,https://api.spotify.com/v1/audio-analysis/2OKP6ZY58Q0G2weotBZnzY,163120,4
Revolver (Super Deluxe),2022-10-28,day,I’m Only Sleeping - Mono Mix RM1,40KYB3vaKx1b9261j2BfSv,0.525,0.466,8,-7.385,0,0.0327,0.175,1.56e-06,0.285,0.608,103.321,audio_features,40KYB3vaKx1b9261j2BfSv,spotify:track:40KYB3vaKx1b9261j2BfSv,https://api.spotify.com/v1/tracks/40KYB3vaKx1b9261j2BfSv,https://api.spotify.com/v1/audio-analysis/40KYB3vaKx1b9261j2BfSv,187307,4
Revolver (Super Deluxe),2022-10-28,day,Eleanor Rigby - Speech Before Take 2,3irItwzxTWhKkoNtZG8frw,0.608,0.177,4,-18.798,0,0.474,0.797,0.0,0.594,0.372,130.297,audio_features,3irItwzxTWhKkoNtZG8frw,spotify:track:3irItwzxTWhKkoNtZG8frw,https://api.spotify.com/v1/tracks/3irItwzxTWhKkoNtZG8frw,https://api.spotify.com/v1/audio-analysis/3irItwzxTWhKkoNtZG8frw,131760,4
Revolver (Super Deluxe),2022-10-28,day,Eleanor Rigby - Take 2,381u5SLnVhqDHbBFeW8wMS,0.533,0.0987,0,-12.862,1,0.0824,0.944,0.785,0.127,0.421,137.932,audio_features,381u5SLnVhqDHbBFeW8wMS,spotify:track:381u5SLnVhqDHbBFeW8wMS,https://api.spotify.com/v1/tracks/381u5SLnVhqDHbBFeW8wMS,https://api.spotify.com/v1/audio-analysis/381u5SLnVhqDHbBFeW8wMS,140240,4
Revolver (Super Deluxe),2022-10-28,day,For No One - Take 10 / Backing Track,5FyM0Cy6X2xIhySQYuxzm5,0.429,0.745,0,-9.724,1,0.0393,0.617,0.124,0.119,0.708,168.928,audio_features,5FyM0Cy6X2xIhySQYuxzm5,spotify:track:5FyM0Cy6X2xIhySQYuxzm5,https://api.spotify.com/v1/tracks/5FyM0Cy6X2xIhySQYuxzm5,https://api.spotify.com/v1/audio-analysis/5FyM0Cy6X2xIhySQYuxzm5,143613,4
Revolver (Super Deluxe),2022-10-28,day,Yellow Submarine - Songwriting Work Tape / Part 1,5X5HVh2lDUfkUJLjkhavBL,0.539,0.196,7,-16.677,1,0.0533,0.994,0.619,0.109,0.799,173.123,audio_features,5X5HVh2lDUfkUJLjkhavBL,spotify:track:5X5HVh2lDUfkUJLjkhavBL,https://api.spotify.com/v1/tracks/5X5HVh2lDUfkUJLjkhavBL,https://api.spotify.com/v1/audio-analysis/5X5HVh2lDUfkUJLjkhavBL,64933,3
Revolver (Super Deluxe),2022-10-28,day,Yellow Submarine - Songwriting Work Tape / Part 2,2Ad5OYsHgZtklrmHlX6EXr,0.434,0.245,1,-15.014,1,0.0672,0.994,0.023,0.127,0.202,83.967,audio_features,2Ad5OYsHgZtklrmHlX6EXr,spotify:track:2Ad5OYsHgZtklrmHlX6EXr,https://api.spotify.com/v1/tracks/2Ad5OYsHgZtklrmHlX6EXr,https://api.spotify.com/v1/audio-analysis/2Ad5OYsHgZtklrmHlX6EXr,282667,4
Revolver (Super Deluxe),2022-10-28,day,Yellow Submarine - Take 4 Before Sound Effects,7yBXC8hDr4OXd41N4T5Fxb,0.722,0.4,7,-9.841,1,0.0372,0.638,0.0,0.185,0.732,118.295,audio_features,7yBXC8hDr4OXd41N4T5Fxb,spotify:track:7yBXC8hDr4OXd41N4T5Fxb,https://api.spotify.com/v1/tracks/7yBXC8hDr4OXd41N4T5Fxb,https://api.spotify.com/v1/audio-analysis/7yBXC8hDr4OXd41N4T5Fxb,157347,4
Revolver (Super Deluxe),2022-10-28,day,Yellow Submarine - Highlighted Sound Effects,6mrLNIWVYubog36YZdyfqI,0.554,0.642,1,-9.149,1,0.11,0.653,0.0,0.732,0.651,110.78,audio_features,6mrLNIWVYubog36YZdyfqI,spotify:track:6mrLNIWVYubog36YZdyfqI,https://api.spotify.com/v1/tracks/6mrLNIWVYubog36YZdyfqI,https://api.spotify.com/v1/audio-analysis/6mrLNIWVYubog36YZdyfqI,183720,4
Revolver (Super Deluxe),2022-10-28,day,I Want To Tell You - Speech & Take 4,5RSAITJDvY3IsfjMC2PSq1,0.71,0.492,2,-10.222,1,0.0919,0.793,4.18e-06,0.235,0.208,124.014,audio_features,5RSAITJDvY3IsfjMC2PSq1,spotify:track:5RSAITJDvY3IsfjMC2PSq1,https://api.spotify.com/v1/tracks/5RSAITJDvY3IsfjMC2PSq1,https://api.spotify.com/v1/audio-analysis/5RSAITJDvY3IsfjMC2PSq1,84853,3
Revolver (Super Deluxe),2022-10-28,day,"Here, There And Everywhere - Take 6",2ChpaAFa9Ias6BKnRS2NVM,0.685,0.23,7,-12.27,1,0.0401,0.852,0.000559,0.334,0.406,83.216,audio_features,2ChpaAFa9Ias6BKnRS2NVM,spotify:track:2ChpaAFa9Ias6BKnRS2NVM,https://api.spotify.com/v1/tracks/2ChpaAFa9Ias6BKnRS2NVM,https://api.spotify.com/v1/audio-analysis/2ChpaAFa9Ias6BKnRS2NVM,149707,4
Revolver (Super Deluxe),2022-10-28,day,She Said She Said - John's Demo,0yEwyx6EJVu70Gf2RaFYb8,0.758,0.325,3,-9.967,1,0.0601,0.937,3.34e-05,0.311,0.635,111.33,audio_features,0yEwyx6EJVu70Gf2RaFYb8,spotify:track:0yEwyx6EJVu70Gf2RaFYb8,https://api.spotify.com/v1/tracks/0yEwyx6EJVu70Gf2RaFYb8,https://api.spotify.com/v1/audio-analysis/0yEwyx6EJVu70Gf2RaFYb8,70333,3
Revolver (Super Deluxe),2022-10-28,day,She Said She Said - Take 15 / Backing Track Rehearsal,2hffnE64VHzJw5IeeQHE1d,0.442,0.604,3,-9.188,1,0.0351,0.00522,0.464,0.108,0.593,104.282,audio_features,2hffnE64VHzJw5IeeQHE1d,spotify:track:2hffnE64VHzJw5IeeQHE1d,https://api.spotify.com/v1/tracks/2hffnE64VHzJw5IeeQHE1d,https://api.spotify.com/v1/audio-analysis/2hffnE64VHzJw5IeeQHE1d,204547,4
Revolver (Super Deluxe),2022-10-28,day,Taxman - Mono,0A71m22elh0lpLiabfR8SK,0.467,0.604,7,-9.23,1,0.0715,0.0722,0.0,0.445,0.773,133.167,audio_features,0A71m22elh0lpLiabfR8SK,spotify:track:0A71m22elh0lpLiabfR8SK,https://api.spotify.com/v1/tracks/0A71m22elh0lpLiabfR8SK,https://api.spotify.com/v1/audio-analysis/0A71m22elh0lpLiabfR8SK,161280,4
Revolver (Super Deluxe),2022-10-28,day,Eleanor Rigby - Mono,5JMB1vIPyVKTKSEOVV5V8t,0.572,0.256,4,-11.199,0,0.0368,0.954,0.0,0.317,0.895,137.41,audio_features,5JMB1vIPyVKTKSEOVV5V8t,spotify:track:5JMB1vIPyVKTKSEOVV5V8t,https://api.spotify.com/v1/tracks/5JMB1vIPyVKTKSEOVV5V8t,https://api.spotify.com/v1/audio-analysis/5JMB1vIPyVKTKSEOVV5V8t,129027,4
Revolver (Super Deluxe),2022-10-28,day,I'm Only Sleeping - Mono,5ErXkXwDIeSQ0Y9BJI8rBo,0.488,0.436,11,-10.036,1,0.0307,0.542,2.21e-06,0.19,0.659,103.18,audio_features,5ErXkXwDIeSQ0Y9BJI8rBo,spotify:track:5ErXkXwDIeSQ0Y9BJI8rBo,https://api.spotify.com/v1/tracks/5ErXkXwDIeSQ0Y9BJI8rBo,https://api.spotify.com/v1/audio-analysis/5ErXkXwDIeSQ0Y9BJI8rBo,182160,4
Revolver (Super Deluxe),2022-10-28,day,Love You To - Mono,3I7Qh4auIXU51PQVsQo7LR,0.369,0.494,5,-11.455,1,0.042,0.637,2.67e-05,0.169,0.715,123.72,audio_features,3I7Qh4auIXU51PQVsQo7LR,spotify:track:3I7Qh4auIXU51PQVsQo7LR,https://api.spotify.com/v1/tracks/3I7Qh4auIXU51PQVsQo7LR,https://api.spotify.com/v1/audio-analysis/3I7Qh4auIXU51PQVsQo7LR,187720,4
Revolver (Super Deluxe),2022-10-28,day,"Here, There And Everywhere - Mono",0ZyfBRsKIeqRC12KrOU4jr,0.545,0.238,7,-11.57,1,0.0268,0.866,0.0508,0.0797,0.388,82.251,audio_features,0ZyfBRsKIeqRC12KrOU4jr,spotify:track:0ZyfBRsKIeqRC12KrOU4jr,https://api.spotify.com/v1/tracks/0ZyfBRsKIeqRC12KrOU4jr,https://api.spotify.com/v1/audio-analysis/0ZyfBRsKIeqRC12KrOU4jr,145267,4
Revolver (Super Deluxe),2022-10-28,day,Yellow Submarine - Mono,23mAQNiKuzqLwzJVHZ1Hj3,0.651,0.364,1,-14.072,1,0.036,0.327,0.0,0.328,0.752,111.104,audio_features,23mAQNiKuzqLwzJVHZ1Hj3,spotify:track:23mAQNiKuzqLwzJVHZ1Hj3,https://api.spotify.com/v1/tracks/23mAQNiKuzqLwzJVHZ1Hj3,https://api.spotify.com/v1/audio-analysis/23mAQNiKuzqLwzJVHZ1Hj3,161587,4
Revolver (Super Deluxe),2022-10-28,day,She Said She Said - Mono,32DPT6WGrAIeffn0dP8IyR,0.318,0.649,3,-10.553,1,0.0318,0.0354,0.00539,0.847,0.766,106.129,audio_features,32DPT6WGrAIeffn0dP8IyR,spotify:track:32DPT6WGrAIeffn0dP8IyR,https://api.spotify.com/v1/tracks/32DPT6WGrAIeffn0dP8IyR,https://api.spotify.com/v1/audio-analysis/32DPT6WGrAIeffn0dP8IyR,158827,4
Revolver (Super Deluxe),2022-10-28,day,Good Day Sunshine - Mono,60XrauzrXSKb82JMxUawUd,0.73,0.479,11,-10.479,1,0.0417,0.613,0.0,0.117,0.74,116.926,audio_features,60XrauzrXSKb82JMxUawUd,spotify:track:60XrauzrXSKb82JMxUawUd,https://api.spotify.com/v1/tracks/60XrauzrXSKb82JMxUawUd,https://api.spotify.com/v1/audio-analysis/60XrauzrXSKb82JMxUawUd,132187,3
Revolver (Super Deluxe),2022-10-28,day,And Your Bird Can Sing - Mono,5bACKbii2IGOAkskzwSOEo,0.507,0.636,4,-9.337,1,0.0289,0.000955,0.227,0.141,0.964,132.216,audio_features,5bACKbii2IGOAkskzwSOEo,spotify:track:5bACKbii2IGOAkskzwSOEo,https://api.spotify.com/v1/tracks/5bACKbii2IGOAkskzwSOEo,https://api.spotify.com/v1/audio-analysis/5bACKbii2IGOAkskzwSOEo,122600,4
Revolver (Super Deluxe),2022-10-28,day,For No One - Mono,08aPZFEdjQPGKN1iC0b5xP,0.441,0.473,11,-10.1,1,0.0273,0.772,0.0,0.122,0.752,80.784,audio_features,08aPZFEdjQPGKN1iC0b5xP,spotify:track:08aPZFEdjQPGKN1iC0b5xP,https://api.spotify.com/v1/tracks/08aPZFEdjQPGKN1iC0b5xP,https://api.spotify.com/v1/audio-analysis/08aPZFEdjQPGKN1iC0b5xP,122120,4
Revolver (Super Deluxe),2022-10-28,day,Doctor Robert - Mono,2BvESb27tmPAp9nJNWvizm,0.438,0.585,4,-10.372,1,0.0423,0.233,0.0216,0.136,0.654,81.969,audio_features,2BvESb27tmPAp9nJNWvizm,spotify:track:2BvESb27tmPAp9nJNWvizm,https://api.spotify.com/v1/tracks/2BvESb27tmPAp9nJNWvizm,https://api.spotify.com/v1/audio-analysis/2BvESb27tmPAp9nJNWvizm,136293,4
